transition_date,year,month,person_id,age_group,age,gender,race,facility,full_name,time_period,state_id,state_code
2017-01-20,2017,1,0002224016,25-29,29,FEMALE,HISPANIC,FACILITY_4,"Williams, James",months_25_60,83705,US_OZ
2017-01-11,2017,1,0000893536,25-29,29,FEMALE,HISPANIC,FACILITY_4,"Jones, Evelyn",months_25_60,39471,US_OZ
2017-01-24,2017,1,0006855884,25-29,26,MALE,BLACK,FACILITY_5,"Jones, Harper",months_25_60,20334,US_OZ
2017-01-28,2017,1,0005604884,25-29,27,MALE,HISPANIC,FACILITY_5,"Anderson, Ethan",months_25_60,03500,US_OZ
2017-01-18,2017,1,0000358122,25-29,29,MALE,WHITE,FACILITY_5,"Rodriguez, Elijah",months_25_60,60634,US_OZ
2017-01-06,2017,1,0003104484,25-29,29,FEMALE,BLACK,FACILITY_5,"Brown, Charlotte",months_25_60,16082,US_OZ
2017-01-22,2017,1,0005793828,25-29,25,FEMALE,BLACK,FACILITY_5,"Gonzales, William",months_25_60,70697,US_OZ
2017-01-24,2017,1,0007349421,25-29,27,FEMALE,HISPANIC,FACILITY_5,"Garcia, James",months_25_60,97090,US_OZ
2017-01-10,2017,1,0006897633,25-29,27,FEMALE,HISPANIC,FACILITY_5,"Williams, Benjamin",months_25_60,03101,US_OZ
2017-01-02,2017,1,0004587301,25-29,25,FEMALE,WHITE,FACILITY_5,"Brown, James",months_25_60,29657,US_OZ
2017-01-05,2017,1,0000500218,25-29,27,FEMALE,WHITE,FACILITY_5,"Brown, Charlotte",months_25_60,32587,US_OZ
2017-01-06,2017,1,0004726563,30-34,33,MALE,BLACK,FACILITY_1,"Jones, Isabella",months_25_60,29694,US_OZ
2017-01-11,2017,1,0001405735,30-34,30,MALE,BLACK,FACILITY_1,"Garcia, Olivia",months_25_60,29858,US_OZ
2017-01-03,2017,1,0007881131,30-34,34,MALE,HISPANIC,FACILITY_1,"Gonzales, Mason",months_25_60,76277,US_OZ
2017-01-02,2017,1,0005619347,30-34,31,FEMALE,BLACK,FACILITY_1,"Garcia, Benjamin",months_25_60,79905,US_OZ
2017-01-25,2017,1,0006970282,30-34,32,FEMALE,HISPANIC,FACILITY_1,"Rodriguez, Evelyn",months_25_60,97475,US_OZ
2017-01-04,2017,1,0006360466,30-34,34,FEMALE,HISPANIC,FACILITY_1,"Davis, Charlotte",months_25_60,98636,US_OZ
2017-01-26,2017,1,0005178676,30-34,32,FEMALE,WHITE,FACILITY_2,"Anderson, James",months_25_60,80206,US_OZ
2017-01-12,2017,1,0004117627,30-34,33,FEMALE,WHITE,FACILITY_2,"Gonzales, Benjamin",months_25_60,30222,US_OZ
2017-01-16,2017,1,0006617338,30-34,30,MALE,BLACK,FACILITY_3,"Williams, Mason",months_25_60,68116,US_OZ
2017-01-08,2017,1,0000722118,30-34,32,MALE,HISPANIC,FACILITY_3,"Williams, Elijah",months_25_60,95848,US_OZ
2017-01-10,2017,1,0007445004,30-34,32,FEMALE,BLACK,FACILITY_3,"Jones, Noah",months_25_60,84865,US_OZ
2017-01-22,2017,1,0003247964,30-34,30,FEMALE,BLACK,FACILITY_3,"Garcia, Liam",months_25_60,35517,US_OZ
2017-01-05,2017,1,0003473240,30-34,33,FEMALE,HISPANIC,FACILITY_3,"Davis, Mia",months_25_60,93111,US_OZ
2017-01-24,2017,1,0009841032,30-34,34,FEMALE,HISPANIC,FACILITY_3,"Williams, Benjamin",months_25_60,62795,US_OZ
2017-01-01,2017,1,0002721287,30-34,31,FEMALE,WHITE,FACILITY_3,"Johnson, Ava",months_25_60,63787,US_OZ
2017-01-04,2017,1,0003739410,30-34,31,FEMALE,WHITE,FACILITY_3,"Rodriguez, Harper",months_25_60,71820,US_OZ
2017-01-15,2017,1,0001187348,30-34,31,MALE,BLACK,FACILITY_4,"Anderson, Mason",months_25_60,71427,US_OZ
2017-01-04,2017,1,0003622395,30-34,32,FEMALE,BLACK,FACILITY_4,"Jones, Olivia",months_25_60,40466,US_OZ
2017-01-15,2017,1,0007222623,30-34,30,FEMALE,BLACK,FACILITY_4,"Davis, Amelia",months_25_60,17845,US_OZ
2017-01-10,2017,1,0007416013,30-34,33,FEMALE,HISPANIC,FACILITY_4,"Johnson, Lucas",months_25_60,82767,US_OZ
2017-01-04,2017,1,0001220426,30-34,31,FEMALE,HISPANIC,FACILITY_4,"Johnson, James",months_25_60,45763,US_OZ
2017-01-25,2017,1,0007725641,30-34,34,FEMALE,WHITE,FACILITY_4,"Smith, Elijah",months_25_60,17257,US_OZ
2017-01-05,2017,1,0002468991,30-34,30,MALE,BLACK,FACILITY_5,"Johnson, Sophia",months_25_60,68084,US_OZ
2017-01-12,2017,1,0005451128,30-34,33,MALE,BLACK,FACILITY_5,"Anderson, Isabella",months_25_60,80956,US_OZ
2017-01-03,2017,1,0002061352,30-34,32,MALE,HISPANIC,FACILITY_5,"Jones, Olivia",months_25_60,09733,US_OZ
2017-01-19,2017,1,0008877404,30-34,34,MALE,HISPANIC,FACILITY_5,"Williams, Mason",months_25_60,44913,US_OZ
2017-01-13,2017,1,0001189914,30-34,33,FEMALE,BLACK,FACILITY_5,"Johnson, Sophia",months_25_60,19352,US_OZ
2017-01-24,2017,1,0006391447,60+,67,MALE,BLACK,FACILITY_1,"Rodriguez, Mia",months_25_60,04663,US_OZ
2017-01-28,2017,1,0006667739,60+,95,MALE,BLACK,FACILITY_1,"Williams, Lucas",months_25_60,15225,US_OZ
2017-01-03,2017,1,0009978588,60+,96,MALE,WHITE,FACILITY_1,"Anderson, Ethan",months_25_60,42304,US_OZ
2017-01-16,2017,1,0007940241,60+,90,MALE,WHITE,FACILITY_1,"Jones, Elijah",months_25_60,08295,US_OZ
2017-01-09,2017,1,0006880832,60+,92,FEMALE,BLACK,FACILITY_1,"Davis, Olivia",months_25_60,87285,US_OZ
2017-01-09,2017,1,0001274750,60+,72,FEMALE,BLACK,FACILITY_1,"Brown, Ava",months_25_60,42491,US_OZ
2017-01-02,2017,1,0009535287,60+,67,FEMALE,HISPANIC,FACILITY_1,"Davis, Evelyn",months_25_60,66162,US_OZ
2017-01-22,2017,1,0002848748,60+,88,FEMALE,WHITE,FACILITY_1,"Jones, Charlotte",months_25_60,52133,US_OZ
2017-01-15,2017,1,0002340463,60+,67,MALE,BLACK,FACILITY_2,"Williams, Isabella",months_25_60,24652,US_OZ
2017-01-09,2017,1,0001430133,60+,88,MALE,BLACK,FACILITY_2,"Gonzales, Charlotte",months_25_60,09928,US_OZ
2017-01-01,2017,1,0006006801,60+,87,MALE,HISPANIC,FACILITY_2,"Williams, Benjamin",months_25_60,39981,US_OZ
2017-01-20,2017,1,0004088149,60+,97,MALE,HISPANIC,FACILITY_2,"Smith, Emma",months_25_60,01549,US_OZ
2017-01-07,2017,1,0004440939,60+,98,FEMALE,BLACK,FACILITY_2,"Anderson, Mia",months_25_60,77252,US_OZ
2017-01-10,2017,1,0006155948,60+,66,FEMALE,HISPANIC,FACILITY_2,"Gonzales, Mason",months_25_60,40360,US_OZ
2017-01-28,2017,1,0003573002,60+,67,FEMALE,HISPANIC,FACILITY_2,"Davis, Benjamin",months_25_60,78549,US_OZ
2017-01-27,2017,1,0009471811,60+,75,MALE,BLACK,FACILITY_3,"Jones, Oliver",months_25_60,84790,US_OZ
2017-01-04,2017,1,0000465198,60+,92,MALE,WHITE,FACILITY_3,"Garcia, Benjamin",months_25_60,29962,US_OZ
2017-01-25,2017,1,0002106621,60+,65,FEMALE,BLACK,FACILITY_3,"Davis, Amelia",months_25_60,72156,US_OZ
2017-01-19,2017,1,0003253671,60+,76,FEMALE,BLACK,FACILITY_3,"Rodriguez, Olivia",months_25_60,30147,US_OZ
2017-01-22,2017,1,0009913190,60+,83,FEMALE,HISPANIC,FACILITY_3,"Jones, Emma",months_25_60,72778,US_OZ
2017-01-01,2017,1,0005582457,60+,69,FEMALE,HISPANIC,FACILITY_3,"Jones, Benjamin",months_25_60,67588,US_OZ
2017-01-04,2017,1,0001466245,60+,79,FEMALE,WHITE,FACILITY_3,"Williams, Lucas",months_25_60,70524,US_OZ
2017-01-19,2017,1,0002751704,60+,78,FEMALE,WHITE,FACILITY_3,"Garcia, Lucas",months_25_60,29249,US_OZ
2017-01-02,2017,1,0008393549,60+,60,MALE,WHITE,FACILITY_4,"Davis, Liam",months_25_60,44336,US_OZ
2017-01-21,2017,1,0000918208,60+,88,FEMALE,HISPANIC,FACILITY_4,"Williams, Emma",months_25_60,89293,US_OZ
2017-01-17,2017,1,0009807365,60+,76,MALE,HISPANIC,FACILITY_5,"Gonzales, Elijah",months_25_60,54692,US_OZ
2017-01-16,2017,1,0000131171,60+,73,MALE,WHITE,FACILITY_5,"Gonzales, Liam",months_25_60,57930,US_OZ
2017-01-10,2017,1,0005225986,60+,73,FEMALE,BLACK,FACILITY_5,"Smith, Olivia",months_25_60,38235,US_OZ
2017-01-06,2017,1,0003728768,60+,94,FEMALE,HISPANIC,FACILITY_5,"Gonzales, Elijah",months_25_60,32819,US_OZ
2017-01-17,2017,1,0008415632,60+,67,FEMALE,HISPANIC,FACILITY_5,"Brown, Elijah",months_25_60,16547,US_OZ
2017-01-27,2017,1,0009604466,60+,78,FEMALE,WHITE,FACILITY_5,"Anderson, Evelyn",months_25_60,29941,US_OZ
2017-02-03,2017,2,0006540796,<25,19,MALE,BLACK,FACILITY_1,"Rodriguez, Ethan",months_25_60,77358,US_OZ
2017-02-22,2017,2,0006691859,<25,19,MALE,BLACK,FACILITY_1,"Williams, Emma",months_25_60,69581,US_OZ
2017-02-03,2017,2,0004207252,<25,21,MALE,HISPANIC,FACILITY_1,"Brown, Amelia",months_25_60,91069,US_OZ
2017-02-05,2017,2,0008142641,<25,24,MALE,WHITE,FACILITY_1,"Garcia, Emma",months_25_60,82839,US_OZ
2017-02-06,2017,2,0002924395,<25,20,MALE,WHITE,FACILITY_1,"Davis, Evelyn",months_25_60,78416,US_OZ
2017-02-18,2017,2,0006543804,<25,18,FEMALE,BLACK,FACILITY_1,"Rodriguez, Harper",months_25_60,22511,US_OZ
2017-02-11,2017,2,0000444737,<25,22,FEMALE,HISPANIC,FACILITY_1,"Davis, Mia",months_25_60,16938,US_OZ
2017-02-05,2017,2,0000491735,<25,21,FEMALE,HISPANIC,FACILITY_1,"Davis, Noah",months_25_60,69207,US_OZ
2017-02-23,2017,2,0009388419,<25,23,MALE,BLACK,FACILITY_2,"Anderson, Olivia",months_25_60,96784,US_OZ
2017-02-11,2017,2,0002642778,<25,19,MALE,BLACK,FACILITY_2,"Rodriguez, William",months_25_60,19892,US_OZ
2017-02-03,2017,2,0004838723,<25,19,MALE,HISPANIC,FACILITY_2,"Garcia, Oliver",months_25_60,09766,US_OZ
2017-02-11,2017,2,0008943221,<25,19,MALE,HISPANIC,FACILITY_2,"Anderson, James",months_25_60,36791,US_OZ
2017-02-08,2017,2,0004485799,<25,20,MALE,WHITE,FACILITY_2,"Johnson, Harper",months_25_60,66502,US_OZ
2017-02-27,2017,2,0000854938,<25,18,FEMALE,WHITE,FACILITY_2,"Jones, James",months_25_60,09435,US_OZ
2017-02-03,2017,2,0008196512,<25,18,MALE,HISPANIC,FACILITY_3,"Garcia, Olivia",months_25_60,15267,US_OZ
2017-02-17,2017,2,0002956210,<25,23,MALE,HISPANIC,FACILITY_3,"Rodriguez, Liam",months_25_60,28301,US_OZ
2017-02-04,2017,2,0009180245,<25,21,MALE,WHITE,FACILITY_3,"Davis, William",months_25_60,40018,US_OZ
2017-02-03,2017,2,0005275252,<25,23,MALE,WHITE,FACILITY_3,"Smith, Mason",months_25_60,75214,US_OZ
2017-02-04,2017,2,0002432729,<25,23,FEMALE,HISPANIC,FACILITY_3,"Brown, Liam",months_25_60,09163,US_OZ
2017-02-10,2017,2,0008389546,<25,24,MALE,BLACK,FACILITY_4,"Smith, James",months_25_60,77011,US_OZ
2017-02-21,2017,2,0008216084,<25,20,MALE,HISPANIC,FACILITY_4,"Smith, Sophia",months_25_60,78678,US_OZ
2017-02-04,2017,2,0000793672,<25,21,MALE,HISPANIC,FACILITY_4,"Gonzales, Ethan",months_25_60,21932,US_OZ
2017-02-17,2017,2,0008802546,<25,23,MALE,WHITE,FACILITY_4,"Brown, Evelyn",months_25_60,33292,US_OZ
2017-02-14,2017,2,0002410908,<25,22,FEMALE,BLACK,FACILITY_4,"Rodriguez, William",months_25_60,58956,US_OZ
2017-02-04,2017,2,0006996494,<25,18,FEMALE,BLACK,FACILITY_4,"Johnson, Evelyn",months_25_60,63942,US_OZ
2017-02-24,2017,2,0009141647,<25,23,FEMALE,HISPANIC,FACILITY_4,"Gonzales, Benjamin",months_25_60,98758,US_OZ
2017-02-04,2017,2,0006148167,<25,24,MALE,HISPANIC,FACILITY_5,"Johnson, Benjamin",months_25_60,03234,US_OZ
2017-02-03,2017,2,0007996177,<25,21,MALE,HISPANIC,FACILITY_5,"Williams, Emma",months_25_60,17134,US_OZ
2017-02-16,2017,2,0001962614,<25,19,MALE,WHITE,FACILITY_5,"Smith, Lucas",months_25_60,43028,US_OZ
2017-02-17,2017,2,0005850814,<25,19,MALE,WHITE,FACILITY_5,"Johnson, Charlotte",months_25_60,95909,US_OZ
2017-02-04,2017,2,0001403925,<25,18,FEMALE,BLACK,FACILITY_5,"Jones, Benjamin",months_25_60,36904,US_OZ
2017-02-22,2017,2,0002112611,<25,18,FEMALE,HISPANIC,FACILITY_5,"Brown, Harper",months_25_60,21468,US_OZ
2017-02-14,2017,2,0000502707,<25,18,FEMALE,HISPANIC,FACILITY_5,"Brown, Emma",months_25_60,21924,US_OZ
2017-02-26,2017,2,0001903651,25-29,29,MALE,BLACK,FACILITY_1,"Brown, Oliver",months_25_60,48151,US_OZ
2017-02-28,2017,2,0009590937,25-29,25,MALE,HISPANIC,FACILITY_1,"Garcia, Ava",months_25_60,83038,US_OZ
2017-02-14,2017,2,0001279929,25-29,27,MALE,WHITE,FACILITY_1,"Garcia, Harper",months_25_60,95063,US_OZ
2017-02-16,2017,2,0003282883,25-29,25,MALE,WHITE,FACILITY_1,"Jones, Oliver",months_25_60,10095,US_OZ
2017-02-06,2017,2,0000754829,25-29,26,FEMALE,BLACK,FACILITY_1,"Garcia, Sophia",months_25_60,97370,US_OZ
2017-02-22,2017,2,0007497123,25-29,29,FEMALE,HISPANIC,FACILITY_1,"Jones, Evelyn",months_25_60,17916,US_OZ
2017-02-23,2017,2,0009620819,25-29,29,FEMALE,HISPANIC,FACILITY_1,"Davis, Olivia",months_25_60,80972,US_OZ
2017-02-15,2017,2,0000044181,25-29,25,FEMALE,HISPANIC,FACILITY_2,"Rodriguez, Oliver",months_25_60,72197,US_OZ
2017-02-08,2017,2,0006751169,25-29,28,FEMALE,WHITE,FACILITY_2,"Jones, Benjamin",months_25_60,22722,US_OZ
2017-02-17,2017,2,0007368268,25-29,29,FEMALE,WHITE,FACILITY_2,"Johnson, Ethan",months_25_60,56124,US_OZ
2017-02-05,2017,2,0009211393,25-29,26,MALE,WHITE,FACILITY_3,"Anderson, Emma",months_25_60,70712,US_OZ
2017-02-08,2017,2,0004523132,25-29,26,MALE,WHITE,FACILITY_3,"Smith, Mason",months_25_60,55784,US_OZ
2017-02-13,2017,2,0005616079,25-29,26,FEMALE,BLACK,FACILITY_3,"Williams, Elijah",months_25_60,56578,US_OZ
2017-02-06,2017,2,0005322164,25-29,26,FEMALE,HISPANIC,FACILITY_3,"Anderson, Liam",months_25_60,04536,US_OZ
2017-02-21,2017,2,0003057596,25-29,28,FEMALE,WHITE,FACILITY_3,"Williams, Evelyn",months_25_60,17250,US_OZ
2017-02-25,2017,2,0009407724,25-29,26,MALE,WHITE,FACILITY_4,"Garcia, Amelia",months_25_60,69417,US_OZ
2017-02-15,2017,2,0003736434,25-29,27,FEMALE,BLACK,FACILITY_4,"Gonzales, Lucas",months_25_60,15722,US_OZ
2017-02-22,2017,2,0002559405,25-29,25,FEMALE,BLACK,FACILITY_4,"Smith, Mia",months_25_60,36088,US_OZ
2017-02-19,2017,2,0009928386,25-29,28,FEMALE,WHITE,FACILITY_4,"Davis, Ethan",months_25_60,56809,US_OZ
2017-02-27,2017,2,0008812520,25-29,28,MALE,BLACK,FACILITY_5,"Jones, Isabella",months_25_60,87551,US_OZ
2017-02-25,2017,2,0007899692,25-29,29,MALE,WHITE,FACILITY_5,"Garcia, William",months_25_60,39869,US_OZ
2017-02-02,2017,2,0005968898,25-29,27,MALE,WHITE,FACILITY_5,"Gonzales, William",months_25_60,27408,US_OZ
2017-02-13,2017,2,0003595164,25-29,25,FEMALE,BLACK,FACILITY_5,"Williams, Noah",months_25_60,43270,US_OZ
2017-02-06,2017,2,0009075386,25-29,29,FEMALE,BLACK,FACILITY_5,"Smith, Elijah",months_25_60,94806,US_OZ
2017-02-17,2017,2,0001415674,30-34,31,MALE,BLACK,FACILITY_1,"Jones, Noah",months_25_60,87906,US_OZ
2017-02-04,2017,2,0005947962,30-34,33,MALE,HISPANIC,FACILITY_1,"Jones, Ava",months_25_60,08148,US_OZ
2017-02-22,2017,2,0002391838,30-34,32,MALE,HISPANIC,FACILITY_1,"Brown, Sophia",months_25_60,79033,US_OZ
2017-02-23,2017,2,0003815313,30-34,31,FEMALE,HISPANIC,FACILITY_1,"Anderson, Liam",months_25_60,72705,US_OZ
2017-02-11,2017,2,0001888571,30-34,30,FEMALE,HISPANIC,FACILITY_1,"Anderson, Evelyn",months_25_60,58561,US_OZ
2017-02-04,2017,2,0002059065,30-34,32,FEMALE,WHITE,FACILITY_1,"Gonzales, Isabella",months_25_60,19963,US_OZ
2017-02-15,2017,2,0002297547,30-34,32,FEMALE,WHITE,FACILITY_1,"Jones, Harper",months_25_60,49580,US_OZ
2017-02-04,2017,2,0009419962,30-34,33,MALE,BLACK,FACILITY_2,"Johnson, Elijah",months_25_60,57721,US_OZ
2017-02-23,2017,2,0007209557,30-34,32,MALE,HISPANIC,FACILITY_2,"Rodriguez, Olivia",months_25_60,78603,US_OZ
2017-02-25,2017,2,0007905594,30-34,34,MALE,WHITE,FACILITY_2,"Garcia, Mia",months_25_60,80476,US_OZ
2017-02-27,2017,2,0005877937,30-34,31,MALE,WHITE,FACILITY_2,"Rodriguez, Evelyn",months_25_60,48281,US_OZ
2017-02-16,2017,2,0003408529,30-34,31,FEMALE,BLACK,FACILITY_2,"Rodriguez, Mia",months_25_60,19279,US_OZ
2017-02-20,2017,2,0008496261,30-34,34,FEMALE,BLACK,FACILITY_2,"Gonzales, Mia",months_25_60,19592,US_OZ
2017-02-13,2017,2,0006296583,30-34,32,FEMALE,HISPANIC,FACILITY_2,"Davis, William",months_25_60,55517,US_OZ
2017-02-22,2017,2,0004616851,30-34,30,FEMALE,HISPANIC,FACILITY_2,"Jones, Mason",months_25_60,73153,US_OZ
2017-02-17,2017,2,0008547792,30-34,33,FEMALE,WHITE,FACILITY_2,"Johnson, Lucas",months_25_60,18745,US_OZ
2017-02-12,2017,2,0005294423,30-34,34,MALE,HISPANIC,FACILITY_3,"Johnson, Sophia",months_25_60,76004,US_OZ
2017-02-27,2017,2,0000984397,30-34,30,MALE,HISPANIC,FACILITY_3,"Rodriguez, Lucas",months_25_60,89182,US_OZ
2017-02-10,2017,2,0008225289,30-34,32,MALE,WHITE,FACILITY_3,"Smith, Lucas",months_25_60,80447,US_OZ
2017-02-13,2017,2,0004844488,30-34,34,FEMALE,BLACK,FACILITY_3,"Gonzales, Harper",months_25_60,97044,US_OZ
2017-02-25,2017,2,0002125993,30-34,33,FEMALE,HISPANIC,FACILITY_3,"Davis, Evelyn",months_25_60,49640,US_OZ
2017-02-10,2017,2,0009487365,30-34,34,MALE,BLACK,FACILITY_4,"Johnson, Ethan",months_25_60,71979,US_OZ
2017-02-03,2017,2,0004137944,30-34,34,MALE,BLACK,FACILITY_4,"Rodriguez, Lucas",months_25_60,80064,US_OZ
2017-02-20,2017,2,0009711800,30-34,31,MALE,HISPANIC,FACILITY_4,"Davis, Harper",months_25_60,16552,US_OZ
2017-02-01,2017,2,0001210821,30-34,34,MALE,HISPANIC,FACILITY_4,"Smith, Lucas",months_25_60,63756,US_OZ
2017-02-07,2017,2,0002609285,30-34,34,FEMALE,BLACK,FACILITY_4,"Gonzales, Charlotte",months_25_60,15767,US_OZ
2017-02-26,2017,2,0007510115,30-34,33,FEMALE,HISPANIC,FACILITY_4,"Anderson, Sophia",months_25_60,68965,US_OZ
2017-02-06,2017,2,0005172105,30-34,31,FEMALE,WHITE,FACILITY_4,"Garcia, Lucas",months_25_60,03597,US_OZ
2017-02-18,2017,2,0000766412,30-34,30,MALE,WHITE,FACILITY_5,"Davis, William",months_25_60,08457,US_OZ
2017-02-19,2017,2,0000257634,30-34,34,FEMALE,BLACK,FACILITY_5,"Rodriguez, Elijah",months_25_60,09991,US_OZ
2017-02-08,2017,2,0002934723,30-34,30,FEMALE,HISPANIC,FACILITY_5,"Johnson, Mia",months_25_60,33247,US_OZ
